,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee,Position_general
4059,Nani,Left Winger,29,Fenerbahce,Turkish Super Lig,Valencia CF,LaLiga,17,14.5,8.5,1
4060,Idrissa Gueye,Central Midfield,26,Aston Villa,English League Championship,Everton,Premier League,17,9.0,8.5,2
4061,Emanuel Mammana,Centre-Back,20,River Plate,LaLiga,Olympique Lyon,French Ligue 1,17,7.0,8.5,3
4062,Borek Dockal,Attacking Midfield,28,Sparta Praha,Ukraine league,HN Jianye,Super League Greece,17,3.5,8.5,2
4063,Jorge,Left-Back,20,Flamengo,Italy Serie A,Monaco,French Ligue 1,17,2.5,8.5,3
4064,Gustavo Gómez,Centre-Back,23,Lanús,LaLiga,AC Milan,Italy Serie A,17,1.75,8.5,3
4065,Óscar Romero,Attacking Midfield,24,Racing Club,LaLiga,SH Shenhua,Super League Greece,17,7.0,8.4,2
4066,Taiyan Jin,Right Midfield,27,Liaoning FC,Super League Greece,BJ Sinobo Guoan,Super League Greece,17,0.225,8.28,2
4067,Yang Yu,Centre-Back,27,GZ R&F,Super League Greece,BJ Sinobo Guoan,Super League Greece,17,0.2,8.27,3
4068,Adama Traoré,Right Winger,20,Aston Villa,English League Championship,Middlesbrough,Premier League,17,8.0,8.25,1
4069,Gianluca Caprari,Second Striker,22,Pescara,Italy Serie A,Inter,Italy Serie A,17,3.5,8.25,1
4070,Nicolae Stanciu,Attacking Midfield,23,FCS Bucharest,German Bundesliga,RSC Anderlecht,Jupiler Pro League(Belgium),17,3.5,8.2,2
4071,Yanic Wildschut,Left Winger,25,Wigan,English League Championship,Norwich,English League Championship,17,0.75,8.2,1
4072,Shilin Sun,Defensive Midfield,28,Liaoning FC,Super League Greece,SH Shenhua,Super League Greece,17,0.2,8.2,2
4073,Marc Bartra,Centre-Back,25,FC Barcelona,LaLiga,Bor. Dortmund,German Bundesliga,17,12.0,8.0,3
4074,Tomás Rincón,Defensive Midfield,28,Genoa,Italy Serie A,Juventus,Italy Serie A,17,9.0,8.0,2
4075,Rémy Cabella,Attacking Midfield,26,Newcastle,English League Championship,Marseille,French Ligue 1,17,8.0,8.0,2
4076,Ivan Cavaleiro,Right Winger,22,Monaco,French Ligue 1,Wolves,English League Championship,17,7.5,8.0,1
4077,Benjamin Stambouli,Centre-Back,26,Paris SG,French Ligue 1,FC Schalke 04,German Bundesliga,17,7.0,8.0,3
4078,Alisson,Goalkeeper,23,Internacional,Italy Serie A,AS Roma,Italy Serie A,17,7.0,8.0,4
4079,Andy Delort,Centre-Forward,24,SM Caen,French Ligue 1,Tigres UANL,Mexican League,17,5.5,8.0,1
4080,Hernanes,Attacking Midfield,31,Juventus,Italy Serie A,HB CFFC,Super League Greece,17,5.0,8.0,2
4081,Alfred N'Diaye,Defensive Midfield,26,Real Betis,LaLiga,Villarreal CF,LaLiga,17,3.5,8.0,2
4082,Wallace,Centre-Back,21,Braga,LaLiga,Lazio,Italy Serie A,17,3.5,8.0,3
4083,Hernani,Defensive Midfield,22,Atlético-PR,Italy Serie A,Zenit S-Pb,Premier League,17,1.75,8.0,2
4084,Dodô,Left-Back,24,AS Roma,Italy Serie A,Inter,Italy Serie A,17,6.0,7.8,3
4085,José Sosa,Attacking Midfield,31,Besiktas,Turkish Super Lig,AC Milan,Italy Serie A,17,8.0,7.5,2
4086,Max Kruse,Second Striker,28,VfL Wolfsburg,German Bundesliga,Werder Bremen,German Bundesliga,17,8.0,7.5,1
4087,Antonio Sanabria,Centre-Forward,20,AS Roma,Italy Serie A,Real Betis,LaLiga,17,7.5,7.5,1
4088,Timothée Kolodziejczak,Centre-Back,25,Sevilla FC,LaLiga,Bor. M'gladbach,German Bundesliga,17,7.0,7.5,3
4089,Miguel Almirón,Attacking Midfield,22,Lanús,LaLiga,Atlanta United,MLS,17,5.5,7.5,2
4090,Malick Evouna,Centre-Forward,23,Ahly,Premier League,TJ Teda,Super League Greece,17,2.0,7.25,1
4092,Cristian Espinoza,Right Winger,21,Huracán,LaLiga,Villarreal CF,LaLiga,17,5.0,7.2,1
4093,Diogo Jota,Left Winger,19,Paços Ferreira,LaLiga,Atlético Madrid,LaLiga,17,3.0,7.2,1
4094,Rudy Gestede,Centre-Forward,28,Aston Villa,English League Championship,Middlesbrough,Premier League,17,7.0,7.1,1
4095,Arthur Masuaku,Left-Back,22,Olympiacos,Super League Greece,West Ham,Premier League,17,7.0,7.1,3
4096,Denis Cheryshev,Left Winger,25,Real Madrid,LaLiga,Villarreal CF,LaLiga,17,10.0,7.0,1
4097,Konstantinos Mitroglou,Centre-Forward,28,Fulham,English League Championship,Benfica,LaLiga,17,9.5,7.0,1
4098,Gerónimo Rulli,Goalkeeper,24,Man City,Premier League,Real Sociedad,LaLiga,17,8.0,7.0,4
4099,Odil Akhmedov,Defensive Midfield,29,Krasnodar,Premier League,SIPG,Super League Greece,17,7.0,7.0,2
4100,Anwar El Ghazi,Left Winger,21,AFC Ajax,Eredivisie League(Nederland),LOSC Lille,French Ligue 1,17,6.5,7.0,1
4101,Jonathas,Centre-Forward,27,Real Sociedad,LaLiga,Rubin Kazan,Premier League,17,6.0,7.0,1
4102,Martin Hinteregger,Centre-Back,23,RB Salzburg,German Bundesliga,FC Augsburg,German Bundesliga,17,6.0,7.0,3
4103,Giuliano,Attacking Midfield,26,Grêmio,Italy Serie A,Zenit S-Pb,Premier League,17,5.0,7.0,2
4104,Leo Baptistão,Centre-Forward,23,Atlético Madrid,LaLiga,Espanyol,LaLiga,17,4.0,7.0,1
4105,Lewis Cook,Central Midfield,19,Leeds,English League Championship,Bournemouth,Premier League,17,4.0,7.0,2
4106,Ismael Sosa,Right Winger,29,UNAM Pumas,Mexican League,Tigres UANL,Mexican League,17,3.0,7.0,1
