,Unnamed: 0,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee,Position_general
75,75,Eidur Gudjohnsen,Centre-Forward,21,Bolton,Premier League,Chelsea,Premier League,1,3.75,7.5,1
76,76,Bruno Cirillo,Centre-Back,23,Reggina,Italy Serie A,Inter,Italy Serie A,1,3.75,7.5,3
77,77,Sunday Oliseh,Defensive Midfield,25,Juventus,Italy Serie A,Bor. Dortmund,German Bundesliga,1,3.75,7.5,2
78,78,Roger,Attacking Midfield,21,Fluminense,Brazil,Benfica,LaLiga,1,3.75,7.5,2
79,79,Dino Baggio,Defensive Midfield,29,Parma,Italy Serie A,Lazio,Italy Serie A,1,3.75,7.5,2
80,80,Diego Placente,Left-Back,23,River Plate,Argentina,Bay. Leverkusen,German Bundesliga,1,3.65,7.3,3
81,81,David Sesa,Second Striker,26,Lecce,Italy Serie A,SSC Napoli,Italy Serie A,1,3.625,7.25,1
82,82,Bert Konterman,Centre-Back,29,Feyenoord,Eredivisie League(Nederland),Rangers,Scottish Premiership,1,3.625,7.25,3
83,83,Dominic Matteo,Left-Back,26,Liverpool,Premier League,Leeds,Premier League,1,3.565,7.13,3
84,84,Mauro Germán Camoranesi,Right Midfield,24,CD Cruz Azul,Mexican League,Hellas Verona,Italy Serie A,1,3.5,7.0,2
85,85,Rodrigo Tello,Left Midfield,21,U. de Chile,Chile League,Sporting CP,LaLiga,1,3.5,7.0,2
86,86,Luís Fabiano,Centre-Forward,19,Ponte Preta,Brazil,Stade Rennais,French Ligue 1,1,3.5,7.0,1
87,87,Pierre van Hooijdonk,Centre-Forward,30,Vitesse,Eredivisie League(Nederland),Benfica,LaLiga,1,3.4,6.8,1
88,88,Hermann Hreidarsson,Centre-Back,25,MK Dons,Premier League,Ipswich,Premier League,1,3.375,6.75,3
89,89,Émerson Thome,Centre-Back,28,Chelsea,Premier League,Sunderland,Premier League,1,3.35,6.7,3
90,90,Hakan Sükür,Centre-Forward,28,Galatasaray,Turkish Super Lig,Inter,Italy Serie A,1,3.25,6.5,1
91,91,Philippe Delaye,Central Midfield,25,Montpellier,Ligue 2,Stade Rennais,French Ligue 1,1,3.25,6.5,2
92,92,Alex Nyarko,Centre-Back,26,Lens,French Ligue 1,Everton,Premier League,1,3.15,6.3,3
93,93,Bob Peeters,Centre-Forward,26,Roda JC,Eredivisie League(Nederland),Vitesse,Eredivisie League(Nederland),1,3.15,6.3,1
94,94,César Sánchez,Goalkeeper,28,Real Valladolid,LaLiga,Real Madrid,LaLiga,1,3.125,6.25,4
95,95,Carlos Gamarra,Centre-Back,29,Atlético Madrid,LaLiga2,Flamengo,Brazil,1,3.125,6.25,3
96,96,Patrick M'Boma,Centre-Forward,29,Cagliari Calcio,Italy Serie B,Parma,Italy Serie A,1,3.05,6.1,1
97,97,Claus Jensen,Attacking Midfield,23,Bolton,Premier League,Charlton,Premier League,1,3.0,6.0,2
98,98,Lucas Bernardi,Central Midfield,22,Newell's,Argentina,Marseille,French Ligue 1,1,3.0,6.0,2
99,99,Alain Goma,Centre-Back,28,Newcastle,Premier League,Fulham,Premier League,1,3.0,6.0,3
100,100,Frédéric Déhu,Centre-Back,27,FC Barcelona,LaLiga,Paris SG,French Ligue 1,1,3.0,6.0,3
101,101,Esteban Fuertes,Centre-Forward,27,Derby,Premier League,Lens,French Ligue 1,1,3.0,6.0,1
102,102,Milan Rapaic,Left Midfield,26,Perugia,Italy Serie A,Fenerbahce,Turkish Super Lig,1,3.0,6.0,2
103,103,Sebastián Cejas,Goalkeeper,26,Newell's,Argentina,AS Roma,Italy Serie A,1,3.0,6.0,4
104,104,Zé Elias,Central Midfield,23,Bologna,Italy Serie A,Olympiacos,Super League Greece,1,2.9,5.8,2
105,105,Joos Valgaeren,Centre-Back,24,Roda JC,Eredivisie League(Nederland),Celtic,Scottish Premiership,1,2.85,5.7,3
106,106,Bülent Akin,Defensive Midfield,21,Denizlispor,Turkish Super Lig,Galatasaray,Turkish Super Lig,1,2.75,5.5,2
107,107,Ronald de Boer,Right Winger,30,FC Barcelona,LaLiga,Rangers,Scottish Premiership,1,2.75,5.5,1
108,108,Fernando Ricksen,Right-Back,23,AZ Alkmaar,Eredivisie League(Nederland),Rangers,Scottish Premiership,1,2.7,5.4,3
109,109,Duncan Ferguson,Centre-Forward,28,Newcastle,Premier League,Everton,Premier League,1,2.7,5.4,1
110,110,Giorgi Demetradze,Centre-Forward,24,Dynamo Kyiv,Premier League,Real Sociedad,LaLiga,1,2.7,5.4,1
111,111,Christian Bassedas,Attacking Midfield,27,Vélez Sarsfield,Argentina,Newcastle,Premier League,1,2.65,5.3,2
112,112,José Luis Chilavert,Goalkeeper,35,Vélez Sarsfield,Argentina,R. Strasbourg,French Ligue 1,1,2.65,5.3,4
113,113,Roberto Ayala,Centre-Back,27,AC Milan,Italy Serie A,Valencia CF,LaLiga,1,2.5,5.0,3
114,114,Viorel Moldovan,Centre-Forward,28,Fenerbahce,Turkish Super Lig,FC Nantes,French Ligue 1,1,2.5,5.0,1
115,115,Vratislav Gresko,Left-Back,23,Bay. Leverkusen,German Bundesliga,Inter,Italy Serie A,1,2.5,5.0,3
116,116,Giorgi Kinkladze,Attacking Midfield,27,AFC Ajax,Eredivisie League(Nederland),Derby,Premier League,1,2.5,5.0,2
117,117,Serkan Aykut,Centre-Forward,25,Samsunspor,Turkish Super Lig,Galatasaray,Turkish Super Lig,1,2.5,5.0,1
118,118,Fernandão,Centre-Forward,22,Goiás EC,Brazil,Marseille,French Ligue 1,1,2.5,5.0,1
119,119,Haim Revivo,Attacking Midfield,28,Celta de Vigo,LaLiga,Fenerbahce,Turkish Super Lig,1,2.5,5.0,2
120,120,Vicente,Left Winger,18,Levante UD,LaLiga2,Valencia CF,LaLiga,1,2.4,4.8,1
121,121,Julio Arca,Central Midfield,19,Argentinos,Argentina,Sunderland,Premier League,1,2.35,4.7,2
122,122,Richard Dunne,Centre-Back,21,Everton,Premier League,Man City,Premier League,1,2.25,4.5,3
123,123,Gary Rowett,Right-Back,26,Birmingham,Premier League,Leicester,Premier League,1,2.25,4.5,3
124,124,Richard Núñez,Attacking Midfield,25,Danubio FC,Uruguayan Primera Division,Grasshoppers,Super League Greece,1,2.25,4.5,2
125,125,David Thompson,Right Midfield,22,Liverpool,Premier League,Coventry City,Premier League,1,2.25,4.5,2
126,126,Alessandro Pistone,Left-Back,24,Newcastle,Premier League,Everton,Premier League,1,2.25,4.5,3
127,127,Joseph-Désiré Job,Centre-Forward,22,Lens,French Ligue 1,Middlesbrough,Premier League,1,2.25,4.5,1
128,128,Radostin Kishishev,Defensive Midfield,25,Litex Lovetch,Bulgaria League,Charlton,Premier League,1,2.25,4.5,2
129,129,Bernard Diomède,Left Winger,26,AJ Auxerre,French Ligue 1,Liverpool,Premier League,1,2.25,4.5,1
130,130,Sixto Peralta,Central Midfield,21,Racing Club,Argentina,Inter,Italy Serie A,1,2.25,4.5,2
131,131,David Johnson,Left Winger,24,Ipswich,Premier League,Nottm Forest,Premier League,1,2.25,4.5,1
132,132,Kennet Andersson,Centre-Forward,32,Bologna,Italy Serie A,Fenerbahce,Turkish Super Lig,1,2.25,4.5,1
133,133,Marquinhos,Attacking Midfield,18,Avaí FC,Brazil,Bay. Leverkusen,German Bundesliga,1,2.25,4.5,2
134,134,Alan Thompson,Left Midfield,26,Aston Villa,Premier League,Celtic,Scottish Premiership,1,2.2,4.4,2
135,135,Jonatan Johansson,Centre-Forward,24,Rangers,Scottish Premiership,Charlton,Premier League,1,2.15,4.3,1
136,136,Rodolfo Arruabarrena,Left-Back,24,Boca Juniors,Argentina,Villarreal CF,LaLiga,1,2.1,4.2,3
137,137,Rigobert Song,Centre-Back,24,Liverpool,Premier League,West Ham,Premier League,1,2.05,4.1,3
138,138,José Francisco Molina,Goalkeeper,29,Atlético Madrid,LaLiga2,Dep. La Coruña,LaLiga,1,2.05,4.1,4
139,139,Jörg Heinrich,Left Midfield,30,Fiorentina,Italy Serie A,Bor. Dortmund,German Bundesliga,1,2.05,4.1,2
140,140,Adrian Mutu,Centre-Forward,21,Inter,Italy Serie A,Hellas Verona,Italy Serie A,1,2.0,4.0,1
141,141,Fernando Meira,Centre-Back,22,Vit. Guimarães,LaLiga,Benfica,LaLiga,1,2.0,4.0,3
142,142,Gianni Guigou,Defensive Midfield,25,Nacional,Uruguayan Primera Division,AS Roma,Italy Serie A,1,2.0,4.0,2
143,143,Richard Dutruel,Goalkeeper,27,Celta de Vigo,LaLiga,FC Barcelona,LaLiga,1,2.0,4.0,4
144,144,Pascal Nouma,Centre-Forward,28,Lens,French Ligue 1,Besiktas,Turkish Super Lig,1,2.0,4.0,1
145,145,Craig Hignett,Right Winger,30,Barnsley FC,Premier League,Blackburn,Premier League,1,2.0,4.0,1
146,146,Zoran Mirkovic,Right-Back,28,Juventus,Italy Serie A,Fenerbahce,Turkish Super Lig,1,2.0,4.0,3
147,147,Charles Amoah,Centre-Forward,25,FC St. Gallen,Super League Greece,Sturm Graz,German Bundesliga,1,1.965,3.93,1
148,148,Niclas Alexandersson,Right Midfield,28,Sheff Wed,Premier League,Everton,Premier League,1,1.9,3.8,2
149,149,Darren Huckerby,Right Winger,24,Leeds,Premier League,Man City,Premier League,1,1.9,3.8,1
150,150,David Hopkin,Right Midfield,29,Leeds,Premier League,Bradford City,Premier League,1,1.875,3.75,2
151,151,Alf-Inge Haland,Defensive Midfield,27,Leeds,Premier League,Man City,Premier League,1,1.875,3.75,2
152,152,Lomana LuaLua,Second Striker,19,Colchester Utd.,Premier League,Newcastle,Premier League,1,1.875,3.75,1
153,153,Steve Watson,Right Midfield,26,Aston Villa,Premier League,Everton,Premier League,1,1.875,3.75,2
154,154,Lee Carsley,Defensive Midfield,26,Blackburn,Premier League,Coventry City,Premier League,1,1.875,3.75,2
155,155,Don Hutchison,Attacking Midfield,29,Everton,Premier League,Sunderland,Premier League,1,1.875,3.75,2
156,156,Didier Deschamps,Defensive Midfield,31,Chelsea,Premier League,Valencia CF,LaLiga,1,1.75,3.5,2
157,157,Santiago Solari,Left Midfield,23,Atlético Madrid,LaLiga2,Real Madrid,LaLiga,1,1.75,3.5,2
158,158,Thomas Gravesen,Defensive Midfield,24,Hamburger SV,German Bundesliga,Everton,Premier League,1,1.75,3.5,2
159,159,Jeong-hwan Ahn,Centre-Forward,23,Busan IPark,Korean League,Perugia,Italy Serie A,1,1.75,3.5,1
160,160,Vasilios Tsiartas,Attacking Midfield,27,Sevilla FC,LaLiga2,AEK Athens,Super League Greece,1,1.75,3.5,2
161,161,Stephen Hughes,Defensive Midfield,23,Arsenal,Premier League,Everton,Premier League,1,1.75,3.5,2
162,162,Marc Wilmots,Attacking Midfield,31,FC Schalke 04,German Bundesliga,G. Bordeaux,French Ligue 1,1,1.75,3.5,2
163,163,Alen Boksic,Centre-Forward,30,Lazio,Italy Serie A,Middlesbrough,Premier League,1,1.725,3.45,1
164,164,Geoff Horsfield,Centre-Forward,26,Fulham,Premier League,Birmingham,Premier League,1,1.69,3.38,1
165,165,Louis Saha,Centre-Forward,21,FC Metz,French Ligue 1,Fulham,Premier League,1,1.575,3.15,1
166,166,Marcus Bent,Centre-Forward,22,Sheffield Utd.,Premier League,Blackburn,Premier League,1,1.575,3.15,1
167,167,Vratislav Lokvenc,Centre-Forward,26,Sparta Praha,Czech First League,1.FC K'lautern,German Bundesliga,1,1.575,3.15,1
168,168,Aleksey Smertin,Defensive Midfield,25,Loko Moscow,Premier League,G. Bordeaux,French Ligue 1,1,1.5,3.0,2
169,169,Stjepan Tomas,Centre-Back,24,Dinamo Zagreb,Croatian First Football League,Vicenza,Italy Serie A,1,1.5,3.0,3
170,170,Jason Roberts,Centre-Forward,22,Bristol Rovers,Premier League,West Brom,Premier League,1,1.5,3.0,1
171,171,Emmanuel Olisadebe,Centre-Forward,22,Pol. Warsaw,Ekstraklasa(Polish),Panathinaikos,Super League Greece,1,1.5,3.0,1
172,172,Danny Higginbotham,Centre-Back,21,Man Utd,Premier League,Derby,Premier League,1,1.5,3.0,3
173,173,Andrew O'Brien,Centre-Back,21,Bradford City,Premier League,Newcastle,Premier League,1,1.5,3.0,3
174,174,Antonio Pacheco,Second Striker,24,Peñarol,Uruguayan Primera Division,Inter,Italy Serie A,1,1.5,3.0,1
175,175,Noel Whelan,Centre-Forward,25,Coventry City,Premier League,Middlesbrough,Premier League,1,1.5,3.0,1
176,176,Changui,Centre-Forward,23,SD Compostela,LaLiga2,Dep. La Coruña,LaLiga,1,1.5,3.0,1
177,177,Shaun Bartlett,Centre-Forward,28,FC Zürich,Super League Greece,Charlton,Premier League,1,1.5,3.0,1
178,178,Dmitri Alenichev,Central Midfield,27,AS Roma,Italy Serie A,FC Porto,LaLiga,1,1.5,3.0,2
179,179,Andrejs Stolcers,Attacking Midfield,26,Shakhtar D.,Premier League,Fulham,Premier League,1,1.5,3.0,2
180,180,Oktay Derelioglu,Centre-Forward,24,Siirtspor,Turkish Super Lig,UD Las Palmas,LaLiga,1,1.5,3.0,1
181,181,Bjørn Otto Bragstad,Centre-Back,29,Rosenborg BK,Eliteserien(Norway),Derby,Premier League,1,1.5,3.0,3
182,182,Kenny Miller,Centre-Forward,20,Hibernian FC,Scottish Premiership,Rangers,Scottish Premiership,1,1.5,3.0,1
183,183,Johan Elmander,Centre-Forward,19,Örgryte,Sweden League,Feyenoord,Eredivisie League(Nederland),1,1.45,2.9,1
184,184,Milan Fukal,Centre-Back,25,Sparta Praha,Czech First League,Hamburger SV,German Bundesliga,1,1.45,2.9,3
186,186,Marcel Ketelaer,Left Midfield,22,Bor. M'gladbach,German Bundesliga 2,Hamburger SV,German Bundesliga,1,1.4,2.8,2
187,187,John Collins,Left Midfield,32,Everton,Premier League,Fulham,Premier League,1,1.375,2.75,2
188,188,Didier Martel,Forward,28,FC Utrecht,Eredivisie League(Nederland),Vitesse,Eredivisie League(Nederland),1,1.375,2.75,1
189,189,Bernard Mendy,Right-Back,18,SM Caen,Ligue 2,Paris SG,French Ligue 1,1,1.35,2.7,3
190,190,Danijel Ljuboja,Centre-Forward,21,FC Sochaux,Ligue 2,R. Strasbourg,French Ligue 1,1,1.35,2.7,1
191,191,Tomás Galásek,Defensive Midfield,27,Willem II,Eredivisie League(Nederland),AFC Ajax,Eredivisie League(Nederland),1,1.35,2.7,2
192,192,Yoshikatsu Kawaguchi,Goalkeeper,26,Yokohama F. M.,Japanese League,Portsmouth,English League Championship,1,1.35,2.7,4
193,193,Gabriel Schürrer,Centre-Back,28,Dep. La Coruña,LaLiga,UD Las Palmas,LaLiga,1,1.35,2.7,3
194,194,Henning Berg,Right-Back,30,Man Utd,Premier League,Blackburn,Premier League,1,1.315,2.63,3
195,195,Gary Naysmith,Left-Back,21,Heart of Midl.,Scottish Premiership,Everton,Premier League,1,1.315,2.63,3
197,197,Christian Dailly,Centre-Back,27,Blackburn,Premier League,West Ham,Premier League,1,1.3,2.6,3
198,198,Jesper Christiansen,Goalkeeper,22,Odense BK,Denmark Superliga,Rangers,Scottish Premiership,1,1.275,2.55,4
199,199,Nikola Lazetic,Right Winger,22,FK Obilic,Serbian SuperLiga,Fenerbahce,Turkish Super Lig,1,1.25,2.5,1
200,200,Tim Cornelisse,Right-Back,22,RKC Waalwijk,Eredivisie League(Nederland),Vitesse,Eredivisie League(Nederland),1,1.25,2.5,3
201,201,Abdelilah Saber,Right-Back,26,Sporting CP,LaLiga,SSC Napoli,Italy Serie A,1,1.25,2.5,3
202,202,Callum Davidson,Left-Back,24,Blackburn,Premier League,Leicester,Premier League,1,1.25,2.5,3
203,203,Fazli Ulusal,Centre-Forward,26,Antalyaspor,Turkish Super Lig,Besiktas,Turkish Super Lig,1,1.25,2.5,1
204,204,Ole Martin Arst,Centre-Forward,25,KAA Gent,Jupiler Pro League(Belgium),Standard Liège,Jupiler Pro League(Belgium),1,1.25,2.5,1
205,205,Feliciano Magro,Attacking Midfield,21,Grasshoppers,Super League Greece,Udinese Calcio,Italy Serie A,1,1.25,2.5,2
206,206,Jean-François Gillet,Goalkeeper,21,Monza,Italy Serie B,Bari,Italy Serie A,1,1.25,2.5,4
207,207,Dimitar Berbatov,Centre-Forward,19,CSKA Sofia,Bulgaria League,Bay. Leverkusen,German Bundesliga,1,1.25,2.5,1
