,Unnamed: 0,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee,Position_general
696,698,Zafer Demiray,Right Midfield,25,Trabzonspor,Süper Lig,Besiktas,Süper Lig,2002-2003,0.6,1.2,M
697,699,Hakan Ünsal,Left-Back,29,Blackburn,Premier League,Galatasaray,Süper Lig,2002-2003,0.6,1.2,D
698,700,Radoslaw Kaluzny,Defensive Midfield,28,Energie Cottbus,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2002-2003,0.6,1.2,M
699,701,Edvin Murati,Left Midfield,26,LOSC Lille,Ligue 1,Iraklis,Super League,2002-2003,0.6,1.2,M
700,702,Heriberto Morales,Centre-Back,27,Morelia, Mexico,Chivas, Mexico,2002-2003,0.575,1.15,D
701,703,Andy Johnson,Centre-Forward,21,Birmingham,Premier League,Crystal Palace,First Division,2002-2003,0.575,1.15,F
702,704,Mark Kinsella,Defensive Midfield,29,Charlton,Premier League,Aston Villa,Premier League,2002-2003,0.575,1.15,M
703,705,Tony Dinning,Midfielder,27,Wolves,First Division,Wigan,Second Division (bis 03/04),2002-2003,0.565,1.13,M
704,706,François Grenet,Right-Back,27,Derby,First Division,Stade Rennais,Ligue 1,2002-2003,0.56,1.12,D
705,707,Stepan Vachousek,Left Midfield,22,FK Teplice, Czech Republic,Slavia Prag, Czech Republic,2002-2003,0.55,1.1,M
706,708,Seyfo Soley,Defensive Midfield,21,KSC Lokeren,Jupiler Pro League,KRC Genk,Jupiler Pro League,2002-2003,0.55,1.1,M
707,709,Guilherme Alves,Centre-Forward,28,Corinthians, Brazil,Ittihad, Saudi Arabia,2002-2003,0.55,1.1,F
708,710,Lee Marshall,Central Midfield,23,Leicester,First Division,West Brom,Premier League,2002-2003,0.525,1.05,M
709,711,Ivica Olic,Centre-Forward,22,NK Zagreb, Croatia,Dinamo Zagreb, Croatia,2002-2003,0.5,1.0,F
710,712,Brandão,Centre-Forward,22,Iraty SC, Brazil,Shakhtar D.,Premier Liga,2002-2003,0.5,1.0,F
711,713,Kanga Akalé,Left Winger,21,FC Zürich,Super League,AJ Auxerre,Ligue 1,2002-2003,0.5,1.0,F
712,714,Pablo Thiam,Defensive Midfield,29,Bayern Munich ,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2002-2003,0.5,1.0,M
713,715,Philippe Brunel,Left Midfield,29,Marseille,Ligue 1,LOSC Lille,Ligue 1,2002-2003,0.5,1.0,M
714,716,Ümit Bozkurt,Defensive Midfield,26,Besiktas,Süper Lig,Genclerbirligi,Süper Lig,2002-2003,0.5,1.0,M
715,717,César Peixoto,Central Midfield,22,Belenenses,Liga NOS,FC Porto,Liga NOS,2002-2003,0.5,1.0,M
716,718,Tamer Tuna,Right Midfield,25,Trabzonspor,Süper Lig,Besiktas,Süper Lig,2002-2003,0.5,1.0,M
717,719,Christian Timm,Right Winger,23,1. FC Köln,2.Bundesliga,1.FC K'lautern,1.Bundesliga,2002-2003,0.5,1.0,F
718,720,Éder Gaúcho,Centre-Back,24,Leiria,Liga NOS,Boavista,Liga NOS,2002-2003,0.5,1.0,D
